 	EN	CN	DE	FR	ES	JP	KO	TC
^sign_platform05350	Time to let it go, Cody. Her family has come to terms with her death, what's stopping you from doing the same? You're only torturing yourself being like this.	放弃吧Cody，她的家人都已经当做她去世了，你为什么还放不下，这只会让你觉得倍加折磨。						放棄吧Cody，她的家人都已經當做她去世了，你為什麼還放不下，這只會讓你覺得倍加折磨。
^sign_platform05351	Let it go. I've been waiting for you, just come to me.	放过你自己吧，我一直等着你，来到我身边。						放過你自己吧，我一直等著你，來到我身邊。
^sign_platform05352	Sorry, I can’t. If I give up right now, I’ll regret it for the rest of my life. Plus, I wouldn't be honest to you.	抱歉，如果我就这样放弃了，或许会留下永远的遗憾，也是对你的欺骗。						抱歉，如果我就這樣放棄了，或許會留下永遠的遺憾，也是對你的欺騙。
^sign_platform05353	Dora is the only one in my heart. Even if she has passed, I must find her body.	我的心里只有Dora一个人，就算她死了，我也要找到她的尸体。						我的心裏只有Dora一個人，就算她死了，我也要找到她的屍體。
^sign_platform05354	You are really stubborn… giving up a career as a global news reporter for a woman. All these years of running around only to fail in the end. What a waste of time! Was it worth it?	你真的太固执了……为了一个女人放弃了环球新闻记者的工作，这些年风尘仆仆奔波各地，最后得到的却只有失望，时间白白流逝，这一切值得吗？						你真的太固執了……為了一個女人放棄了環球新聞記者的工作，這些年風塵僕僕奔波各地，最後得到的卻只有失望，時間白白流逝，這一切值得嗎？
^sign_platform05355	It's really sad to see your life gradually spiral out of control all these years.	看到你这些年过的如此落魄，我真的很难过。						看到你這些年過的如此落魄，我真的很難過。
^sign_platform05356	If she is still alive, she'll be waiting for me to save her.	如果她还活着，一定在等我去救她。						如果她還活著，一定在等我去救她。
^sign_platform05357	If I were to give up on her, imagine how truly lost she would be.	要是连我都放弃了她该有多绝望。						要是連我都放棄了她該有多絕望。
^sign_platform05358	I know I can't convince you for now.	我知道现在还是无法说服你。						我知道現在還是無法說服你。
^sign_platform05359	Take care of yourself, Cody.	照顾好自己，Cody。						照顧好自己，Cody。
^sign_platform05360	I will, Wallis. Stop wasting your time on me. It's time to go find the one meant for you.	我会的，Wallis。不要再把视线留在我身上了，去找属于你自己的幸福吧。						我會的，Wallis。不要再把視線留在我身上了，去找屬於你自己的幸福吧。
^sign_platform05361	My bro, how are you holding up? Still looking for that woman?	我的兄弟，最近过得好吗？你还在找那个女人？						我的兄弟，最近過得好嗎？你還在找那個女人？
^sign_platform05362	Same as always.	还是老样子。						還是老樣子。
^sign_platform05363	I saw your Toothbook, and you're supporting Van. Come on, it's gotta be a scam.	我看到你的Toothbook，你在支持那个Van，这一定是个骗局。						我看到你的Toothbook，你在支持那個Van，這一定是個騙局。
^sign_platform05364	Haha, it's a long story, but I figured out a way to get rid of him.	哈哈，这件事说来话长，不过我想到了一个摆脱他的方法。						哈哈，這件事說來話長，不過我想到了一個擺脫他的方法。
^sign_platform05365	Don't worry, I've got it all under control.	放心，我会处理好的。						放心，我會處理好的。
^sign_platform05366	But… hypothetically, if I'm in trouble, would you get my back?	不过……如果我有困难，你会帮助我吗？						不過……如果我有困難，你會幫助我嗎？
^sign_platform05367	No doubt, I’ll do anything I can to help you.	毋庸置疑，我会倾尽所有帮助你。						毋庸置疑，我會傾盡所有幫助你。
^sign_platform05368	Haha… no, you won't. Back when I wanted to form a company, you refused to lend me the money because you were getting married.	哈哈……你不会的，当年我想组建公司，你却因为要结婚拒绝了借我那笔钱。						哈哈……你不會的，當年我想組建公司，你卻因為要結婚拒絕了借我那筆錢。
^sign_platform05369	… I was pretty strapped for cash back then. But now that I’ve lost the most precious thing, money doesn’t mean much to me anymore.	……那时候我确实不够富有。不过现在我已经身无挂碍，金钱对我来说已经失去了用处。						……那時候我確實不夠富有。不過現在我已經身無掛礙，金錢對我來說已經失去了用處。
^sign_platform05370	I just want to find her.	我只想找到她。						我只想找到她。
^sign_platform05371	So you'll do everything you can to help me, right?	所以你会倾尽全力帮助我，对吧？						所以你會傾盡全力幫助我，對吧？
^sign_platform05372	Without a doubt. You're one of the few family members I have left in this world. You’re my twin brother, and I hope you're doing well.	嗯，我会的。你是我在这个世界上为数不多的亲人，是我的双生哥哥，我希望你过的好。						嗯，我會的。你是我在這個世界上為數不多的親人，是我的雙生哥哥，我希望你過的好。
^sign_platform05373	Yeah, we're practically identical. If you put on my clothes or I act like you, it’s possible that no one would be able to tell.	是啊，我们简直一模一样，如果你穿上我的衣服，或者我扮演成你，可能不会被任何人认出来。						是啊，我們簡直一模一樣，如果你穿上我的衣服，或者我扮演成你，可能不會被任何人認出來。
^sign_platform05374	So, do you need my help?	所以，你需要我的帮助吗？						所以，你需要我的幫助嗎？
^sign_platform05375	Hehe, I do need your help on something, but let me take a few days to consider it first.	呵呵，确实有事情需要你的帮助，不过我还要再考虑几天。						呵呵，確實有事情需要你的幫助，不過我還要再考慮幾天。
^sign_platform05376	Is the AI lifeform that Professor Tom Blanco is working on really that impenetrable? Where can I get one?	Tom Blanco教授研究的AI生命是不是无敌的？在哪能买？						Tom Blanco教授研究的AI生命是不是無敵的？在哪能買？
^sign_platform05377	I heard that the AI lifeform researched by Tom Blanco is a big success. Does that mean in the future we can buy AI robots that have thoughts? Can anyone get their hands on one now? I'm willing to pay a ton for it!	听说Tom Blanco研究的AI生命体大获成功，是不是意味着我们以后都能买到有思想的AI机器人？现在有人能搞到手吗？我愿意花重金购买！						聽說Tom Blanco研究的AI生命體大獲成功，是不是意味著我們以後都能買到有思想的AI機器人？現在有人能搞到手嗎？我願意花重金購買！
^sign_platform05378	I'd love to get one in the shape of a french maid, if there are any like that.	有的话我希望做成女仆外形。						有的話我希望做成女僕外形。
^sign_platform05379	Impenetrable? Probably not entirely. Besides, it is said that right now it doesn’t have physical shape, though it can wander anywhere on the Internet. Of course, it's subject to the limitations set by Titan.	无敌是不可能无敌的，而且据说现在是没有外形的。但是可以游离在互联网的任何地方，当然，一切受泰坦的限制。						無敵是不可能無敵的，而且據說現在是沒有外形的。但是可以遊離在互聯網的任何地方，當然，一切受泰坦的限制。
^sign_platform05380	The comment above is such BS. If it's true, then if the AI commits a crime, does that mean no one could catch it?	楼上太扯了，照你这么说，要是有思想的AI犯罪，还抓不到了？						樓上太扯了，照你這麼說，要是有思想的AI犯罪，還抓不到了？
^sign_platform05381	It has countless IP addresses. One second ago it is right in front of you, but the next second it can be thousands of miles away. Its real location can’t be nailed down.	他会有无数IP地址，这一秒还在你眼前，下一秒就在千里之外。你找不到他的真实位置。						他會有無數IP地址，這一秒還在你眼前，下一秒就在千裏之外。你找不到他的真實位置。
^sign_platform05382	Don't be ridiculous! How hard can it be to catch an AI? Locate the general range of its location, then disconnect the network. It'd be like raising prison walls. It absolutely couldn't escape that.	别瞎扯了，抓AI有什么难度，确定他所在的大致范围把网断掉，画地为牢，绝对逃不了。						別瞎扯了，抓AI有什麼難度，確定他所在的大致範圍把網斷掉，畫地為牢，絕對逃不了。
^sign_platform05383	Looks like everyone’s got a PHD.	这楼里全是懂王。						這樓裏全是懂王。
^sign_platform05384	Beating up a physical AI isn't illegal, right?? Hahaha… if Titan makes AI with bodies, I’d love to buy one, just so I can blow off some steam.	殴打AI人是不犯法的吧哈哈哈哈……如果泰坦生产出AI人我要买个发泄出气用。						毆打AI人是不犯法的吧哈哈哈哈……如果泰坦生產出AI人我要買個發泄出氣用。
^sign_platform05385	I’m having an evil thought.	我有了一个邪恶的想法。						我有了一個邪惡的想法。
^sign_platform05386	Human-shaped AI with the heart of an angel?	人形AI天使心？？？						人形AI天使心？？？
^name_ht0540	Wallis	Wallis						Wallis
^road0507	102 Deegan Lake Road	伍德兰大街102号						伍德蘭大街102號
^message_event05123	AG03819910813938	AG03819910813938						AG03819910813938
^message_event05124	202-3295-500	202-3295-500						202-3295-500
^message_event05125	102	102						102
^message_event05126	Dora1229	Dora1229						Dora1229
^message_event05127	8389288473	8389288473						8389288473
^name_ht0541	Felix	Felix						Felix
^name_ht0542	Conrad	Conrad						Conrad
^name_ht0543	Eunice	Eunice						Eunice
^name_ht0544	Bing	Bing						Bing
^name_ht0545	Dorothea	Dorothea						Dorothea
^name_ht0546	Judson	Judson						Judson
^name_ht0547	Denise	Denise						Denise
^name_ht0548	Conan	Conan						Conan
^name_ht0549	Cronin	Cronin						Cronin
^name_ht0550	Francis	Francis						Francis
^datenewweb	12.20.2021	2021.12.20						2021.12.20
^end_van100	Hah, you thought I was just an AI? The game has just started!	哈…居然认为我是个AI，游戏才刚刚开始…						哈…居然認為我是個AI，遊戲才剛剛開始…
